Tech,Percentage,Date,Title
xcode,0.010606294353594569,12-16-2019,Data Analyst
zend,0.008677877198395556,12-17-2019,Data Analyst
ios,0.2613005245294662,12-17-2019,Data Analyst
jquery,0.7019438444924406,12-17-2019,Data Analyst
mapreduce,0.3943613082381981,12-17-2019,Data Analyst
sklearn,0.02314100586238816,12-17-2019,Data Analyst
C++,1.5610536871336007,12-17-2019,Data Analyst
C#,1.4347423634680654,12-18-2019,Data Analyst
aws,0.9638554216867472,12-18-2019,Data Analyst
acrobat,0.2409638554216868,12-18-2019,Data Analyst
apache,0.2409638554216868,12-18-2019,Data Analyst
azure,0.4819277108433736,12-18-2019,Data Analyst
bigquery,1.2048192771084338,12-18-2019,Data Analyst
excel,14.939759036144581,12-18-2019,Data Analyst
gcp,0.4819277108433736,12-18-2019,Data Analyst
git,0.2409638554216868,12-18-2019,Data Analyst
html,0.7228915662650602,12-18-2019,Data Analyst
hadoop,0.4819277108433736,12-18-2019,Data Analyst
hive,0.4819277108433736,12-18-2019,Data Analyst
ibm,0.2409638554216868,12-18-2019,Data Analyst
illustrator,0.2409638554216868,12-18-2019,Data Analyst
java,2.6506024096385543,12-18-2019,Data Analyst
javascript,1.2048192771084338,12-18-2019,Data Analyst
microsoft,7.469879518072291,12-18-2019,Data Analyst
mongodb,0.2409638554216868,12-18-2019,Data Analyst
mysql,1.2048192771084338,12-18-2019,Data Analyst
net,0.9638554216867472,12-18-2019,Data Analyst
nosql,0.4819277108433736,12-18-2019,Data Analyst
node,0.2409638554216868,12-18-2019,Data Analyst
oracle,0.7228915662650602,12-18-2019,Data Analyst
pandas,0.2409638554216868,12-18-2019,Data Analyst
photoshop,0.2409638554216868,12-18-2019,Data Analyst
postgresql,0.4819277108433736,12-18-2019,Data Analyst
powerpoint,2.8915662650602414,12-18-2019,Data Analyst
python,12.530120481927712,12-18-2019,Data Analyst
r,5.301204819277109,12-18-2019,Data Analyst
sap,1.6867469879518069,12-18-2019,Data Analyst
sas,7.2289156626506035,12-18-2019,Data Analyst
spss,0.4819277108433736,12-18-2019,Data Analyst
sql,22.409638554216876,12-18-2019,Data Analyst
salesforce,0.7228915662650602,12-18-2019,Data Analyst
scala,0.2409638554216868,12-18-2019,Data Analyst
spark,0.4819277108433736,12-18-2019,Data Analyst
tableau,6.506024096385541,12-18-2019,Data Analyst
windows,0.4819277108433736,12-18-2019,Data Analyst
xml,0.4819277108433736,12-18-2019,Data Analyst
C++,0.4819277108433736,12-18-2019,Data Analyst
C#,0.9638554216867472,12-18-2019,Data Analyst
ajax,0.2573780095460351,12-01-2019,Data Analyst
