Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
Sudoku Fun\xae,0.0,0.0,0.0,['0.0'],iTasbih,4.0,"EN, FR, IT, ES",8687616.0,1694,1669,0,0,0,0,0,0,1,0,1,0,0,0,0,603,25
Monster Avengers,0.0,0.0,0.99,['4.99'],9 FACTORY,9.0,EN,78606336.0,983,983,0,0,0,0,0,0,0,0,0,1,0,0,0,1304,0
Puzzle fun with Princess Lillifee,0.0,0.0,1.99,['0.0'],Tivola Publishing GmbH,4.0,EN,51089408.0,1658,1486,0,0,0,0,0,0,1,0,1,0,0,0,0,1623,172
Original Mahjong\u2122,4.0,51.0,0.0,"['0.99', '0.99']",Affinity Media Inc.,4.0,EN,159379456.0,1478,1474,0,0,0,0,0,0,1,0,1,0,0,0,0,1477,4
AC MILAN FANTASY MANAGER 18,4.5,47.0,0.0,"['3.99', '8.99', '8.99', '2.99', '19.99', '1.99', '1.99', '4.99', '3.99', '4.99']","From The Bench, SL",4.0,"EN, EL, ID, IT, JA, KO, PT, ES, TR",277585920.0,1693,344,0,0,0,0,0,0,0,0,0,0,0,1,0,3096,1349
Spooky Runes HD Full,0.0,0.0,3.99,['0.0'],Anawiki Games,4.0,EN,91951104.0,1705,783,0,0,0,0,0,0,1,0,1,0,0,0,0,873,922
Bio Inc. - Biomedical Plague,4.5,2433.0,0.0,"['2.99', '4.99', '6.99', '17.99', '21.99', '6.99', '10.99', '2.99', '0.99']",DryGin Studios,12.0,"EN, FR, DE, IT, PT, RU, ES",135680000.0,1687,582,0,0,0,0,0,0,0,0,0,0,1,0,0,1197,1105
DC Legends: Battle for Justice,4.5,25757.0,0.0,"['19.99', '4.99', '9.99', '49.99', '99.99', '1.99', '4.99', '0.99', '4.99', '2.99']",Warner Bros.,9.0,"EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES",378431488.0,973,-19,0,0,0,0,0,0,1,0,0,1,0,0,0,2012,992
Brass,4.5,205.0,5.99,['0.0'],Cublo Sp. z o.o.,4.0,"EN, DE, PL",298156032.0,1329,33,0,0,1,0,0,0,1,0,0,0,0,0,0,2803,1296
Aaron Da Zombie: Creepy Hallow-een Night-mare Fright Land,0.0,0.0,0.0,['0.99'],Landon Beaver,9.0,EN,21012480.0,1703,1703,0,0,0,0,0,0,1,0,1,0,0,0,0,419,0
Alerte Cyclone,0.0,0.0,0.0,['0.0'],Jean Lionel Darie,4.0,EN,27959296.0,1210,1204,0,0,0,0,1,0,0,0,0,0,0,0,0,1013,6
Strategy & Tactics Sandbox WW2,4.0,896.0,0.0,"['1.99', '4.99', '9.99', '1.99', '9.99', '2.99', '19.99', '9.99', '9.99', '1.99']",HeroCraft Ltd.,12.0,"EN, FR, DE, IT, PL, PT, RU, ES, TR",102680576.0,1681,195,0,0,1,0,0,0,1,0,0,0,0,0,0,1360,1486
To The Rescue! 4 HD Free,4.5,96.0,0.0,['2.99'],"Alawar Entertainment, Inc",4.0,"EN, RU",68034560.0,1664,1664,0,0,0,0,1,0,0,0,0,0,0,0,0,807,0
Clock Man,0.0,0.0,0.0,['0.0'],"UberZany Games, LLC",4.0,EN,21577728.0,1624,1582,0,0,0,0,0,0,1,0,1,0,0,0,0,265,42
Grizzly Bear Hunt-ing Bullet Juggle Game,0.0,0.0,0.0,"['2.99', '3.99', '8.99', '5.99']",Maple Lowell,4.0,EN,63455232.0,1698,1698,0,0,0,0,0,0,1,0,0,0,0,1,0,87,0
Arena Dodge,0.0,0.0,99.99,['0.0'],Key Player Publishing Limited,4.0,EN,42868736.0,1703,1703,0,0,0,0,1,0,0,0,0,0,0,0,0,592,0
