Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
Sudoku,4.0,3553.0,2.99,['0.0'],Mighty Mighty Good Games,4.0,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15853568.0,4009,764,0,0,0,0,0,0,0,0,1,0,0,0,0,1617,3245
Reversi,3.5,284.0,1.99,['0.0'],Kiss The Machine,4.0,EN,12328960.0,4009,412,0,0,1,0,0,0,0,0,0,0,0,0,0,1222,3597
Morocco,3.0,8376.0,0.0,['0.0'],Bayou Games,4.0,EN,674816.0,4009,666,0,0,1,0,0,0,0,0,0,0,0,0,0,582,3343
Sudoku (Free),3.5,190394.0,0.0,['0.0'],Mighty Mighty Good Games,4.0,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",21552128.0,3997,764,0,0,0,0,0,0,0,0,1,0,0,0,0,1675,3233
Senet Deluxe,3.5,28.0,2.99,['0.0'],RoGame Software,4.0,"DA, NL, EN, FR, DE, EL, IT, JA, KO, NO, PT, RU, ZH, ES, SV",34689024.0,4002,346,0,0,1,0,0,1,0,0,0,0,0,0,0,2076,3656
Sudoku - Classic number puzzle,3.0,47.0,0.0,['1.99'],OutOfTheBit Ltd,4.0,EN,48672768.0,3990,65,0,0,0,0,0,0,1,0,1,0,0,0,0,2255,3925
Colony,2.5,125.0,0.99,['0.0'],Chris Haynes,4.0,EN,64333824.0,3986,273,0,0,1,0,0,0,0,0,0,0,0,0,0,826,3713
Carte,2.5,44.0,0.0,['0.0'],Jean-Francois Pautex,4.0,FR,2657280.0,3986,587,0,0,1,0,0,0,1,0,0,0,0,0,0,430,3399
"""Barrels O' Fun""",2.5,184.0,0.0,['0.0'],BesqWare,4.0,EN,1466515.0,3988,3988,0,0,0,0,1,0,0,0,0,0,0,0,0,562,0
Quaddraxx,0.0,0.0,0.0,['0.0'],H2F Informationssysteme GmbH,4.0,EN,3089867.0,3978,3928,0,0,0,0,0,0,1,0,1,0,0,0,0,753,50
Lumen Lite,3.5,5072.0,0.0,['0.0'],Bridger Maxwell,4.0,EN,7086403.0,3971,3875,0,0,0,0,0,0,0,0,1,0,0,0,0,591,96
BubblePop,3.0,526.0,0.0,['0.0'],TMSOFT,4.0,EN,845008.0,3967,3630,0,0,0,0,0,0,1,0,0,0,0,0,0,649,337
Marple,3.5,989.0,0.99,['0.0'],Mikko Kankainen,4.0,EN,3643392.0,3961,59,0,0,0,0,0,0,0,0,1,0,0,0,0,1456,3902
Tetravex Lite,2.5,2358.0,0.0,['0.0'],Futrell Software,4.0,EN,731525.0,3962,3907,0,0,0,0,0,0,1,0,1,0,0,0,0,971,55
Awele/Oware - Mancala HD,3.0,112.0,0.0,['0.99'],SOLILAB,4.0,"EN, FR, DE, IT, ES",122826752.0,3958,1549,0,0,1,0,0,0,0,0,0,0,0,0,0,618,2409
Chess Game,3.0,504.0,0.0,['0.0'],Memention Holding AB,4.0,EN,444163.0,3956,3556,0,0,1,0,0,0,0,0,0,0,0,0,0,566,400
Catcha Mouse,3.5,95971.0,0.0,"['1.99', '0.99', '1.99', '0.99', '4.99', '1.99', '1.99']","Meme, Inc",4.0,EN,26820692.0,3786,2259,0,0,0,0,0,0,0,0,1,0,0,0,0,794,1527
"Cool Sudoku, Jigsaw, Killer",3.5,357.0,0.0,"['0.99', '0.99', '0.99']",Splash Software Ltd.,4.0,EN,52236288.0,3934,68,0,0,0,0,0,0,1,0,1,0,0,0,0,1039,3866
Mind the Corners,3.0,7.0,0.99,['0.0'],Zentropy Software,4.0,EN,1530880.0,3939,980,0,0,1,0,0,0,1,0,0,0,0,0,0,652,2959
All You Can Eat,2.0,30.0,0.99,['0.0'],Armin Heinrich,9.0,EN,4341760.0,3934,109,0,0,0,0,1,0,1,0,0,0,0,0,0,774,3825
Ane Rouge,0.0,0.0,0.0,['0.0'],Jean-Francois Pautex,4.0,"EN, FR",1190912.0,3931,847,0,0,0,0,0,1,0,0,1,0,0,0,0,591,3084
Neiscat,0.0,0.0,0.99,['0.0'],Frederic Bronner,4.0,"EN, FR",8806400.0,3929,192,0,0,1,0,0,0,1,0,0,0,0,0,0,1378,3737
Boomshine,4.0,637.0,0.99,['0.0'],TwoDesk Software Company,4.0,EN,22873088.0,3921,774,0,0,0,0,0,0,1,0,1,0,0,0,0,322,3147
Gaia Lite,3.5,1563.0,0.0,['0.0'],Quicksand Interactive,4.0,EN,6550985.0,3926,3926,0,0,0,0,0,0,0,0,1,0,0,0,0,1797,0
Fieldrunners,4.0,41869.0,2.99,"['0.99', '0.99', '0.99', '0.99']","Subatomic Studios, LLC",9.0,EN,75041792.0,3923,448,1,0,0,0,0,0,1,0,0,0,0,0,0,1983,3475
Lux Touch 3 - World Domination,3.5,72428.0,0.0,['0.0'],Sillysoft Games,9.0,EN,55071744.0,3921,161,0,0,1,0,0,0,1,0,0,0,0,0,0,856,3760
"""Don't Square""",2.5,190.0,0.99,['0.0'],Solid Apps GmbH,4.0,"EN, FR, DE, EL, PT, RU, ZH, ES",4357120.0,3916,42,0,0,1,0,0,0,1,0,0,0,0,0,0,892,3874
Smart Rummy,2.5,69.0,2.99,['0.0'],Pramod Shankar,4.0,EN,44329984.0,3893,940,0,0,0,1,0,0,1,0,0,0,0,0,0,2341,2953
Expert Sudoku,4.0,523.0,2.99,['0.0'],Mighty Mighty Good Games,4.0,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",9543680.0,3907,764,0,0,0,0,0,0,1,0,1,0,0,0,0,1869,3143
Edgewise,3.5,23.0,0.0,"['1.99', '0.99']",Greggy Bits Software,4.0,EN,1298432.0,3903,1468,0,0,0,1,0,0,0,0,0,0,0,0,0,726,2435
Chess Genius,4.0,156.0,5.99,['0.0'],Lang Software Limited,4.0,"EN, FR, DE, IT, ES",1751040.0,3889,1062,0,0,1,0,0,0,1,0,0,0,0,0,0,1079,2827
Chess - tChess Pro,4.0,3062.0,7.99,['0.0'],Tom Kerrigan,4.0,"EN, FR, DE, JA, KO, ZH",7517184.0,3892,87,0,0,1,0,0,0,1,0,0,0,0,0,0,1432,3805
Toobz,3.5,2425.0,0.99,['0.0'],Jason Haslup,4.0,EN,9641984.0,3892,1754,0,0,0,0,0,0,0,0,1,0,0,0,0,824,2138
Color Sudoku,3.5,518.0,2.99,['0.0'],Mighty Mighty Good Games,4.0,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15837184.0,3883,764,0,0,0,0,0,0,1,0,1,0,0,0,0,1563,3119
Chess - tChess Lite,3.5,5488.0,0.99,['0.0'],Tom Kerrigan,4.0,"EN, FR, DE, JA, KO, ZH",5874688.0,3882,87,0,0,1,0,0,0,1,0,0,0,0,0,0,1494,3795
Checkers Online Lite,2.5,3521.0,0.0,['0.0'],EUROCENTER,4.0,EN,9402423.0,3868,3868,0,0,1,0,0,0,0,0,0,0,0,0,0,1009,0
TapDefense,3.5,273687.0,0.0,"['0.99', '2.99', '1.99']",TapJoy,9.0,EN,7774384.0,3873,2401,0,0,0,0,0,0,1,0,0,0,1,0,0,875,1472
Chinese Chess (Xiangqi),3.0,67.0,0.99,['0.0'],Easy 8 Software,4.0,EN,12423168.0,3873,1646,0,0,1,0,0,0,0,0,0,0,0,0,0,1482,2227
Warfare Incorporated,3.5,5931.0,0.0,['0.0'],"Spiffcode, Inc.",9.0,EN,7705600.0,3863,13,1,0,0,0,0,0,1,0,0,0,0,0,0,1511,3850
Strategery,4.0,2798.0,1.99,['0.0'],Affogato LLC,4.0,EN,15547392.0,3858,746,0,0,1,0,0,0,1,0,0,0,0,0,0,1258,3112
5x5 Shogi (MiniShogi) K55,4.0,16.0,2.99,['0.0'],Yoshikazu Kakinoki,4.0,"EN, JA",3940352.0,3856,1377,0,0,1,0,0,0,0,0,0,0,0,0,0,638,2479
Deep Green Chess,4.0,483.0,7.99,['0.0'],Cocoa Stuff,4.0,EN,99019776.0,3858,1252,0,0,1,0,0,0,0,0,0,0,0,0,0,1426,2606
Jewel Lines,3.0,75.0,2.99,['0.0'],"Software River Solutions, Inc",4.0,EN,5731328.0,3854,673,0,0,0,0,0,0,1,0,1,0,0,0,0,761,3181
Lux DLX 3 - Map Conquest Game,4.0,5629.0,4.99,['0.0'],Sillysoft Games,9.0,"DA, NL, EN, FR, DE, IT, NO, NB, PT, ES, SV",93993984.0,3848,99,0,0,1,0,0,0,1,0,0,0,0,0,0,1612,3749
ChartFight SP,3.0,2482.0,0.99,['0.0'],Mutant Piano Software,4.0,"NL, EN",14894080.0,3850,625,0,0,1,0,0,0,0,0,0,0,0,0,0,710,3225
Robo Logic,3.5,77.0,0.99,['0.0'],digitalsirup GmbH,4.0,"EN, FR, DE, JA",5044648.0,3852,3582,0,0,0,0,0,1,0,0,1,0,0,0,0,587,270
RoboLogic Lite,3.0,1461.0,0.0,['0.0'],digitalsirup GmbH,4.0,"EN, DE",2584622.0,3833,3596,0,0,0,0,0,0,0,0,1,0,0,0,0,548,237
Kakinoki Shogi (Japanese Chess),4.0,75.0,4.99,['0.0'],Yoshikazu Kakinoki,4.0,"EN, JA",18432000.0,3817,1378,0,0,1,0,0,0,0,0,0,0,0,0,0,587,2439
Kings Corners Free,2.5,1741.0,0.0,['0.0'],"Ilium Software, Inc.",4.0,EN,2323719.0,3814,2872,0,0,0,1,0,0,1,0,0,0,0,0,0,1005,942
Flip Ninja,2.5,6.0,0.0,['0.0'],Audacity Software Pte. Ltd.,4.0,EN,1112393.0,3820,3820,0,0,0,0,0,0,0,0,1,0,0,0,0,674,0
Gun Runner Wars,3.0,740.0,0.99,['0.0'],CUBIC digital,9.0,EN,15541248.0,3801,1089,0,0,0,0,0,0,0,0,0,0,1,0,1,1382,2712
Word Zapper,3.0,89.0,0.99,['0.0'],NTP,4.0,EN,16785408.0,3814,269,0,0,0,0,0,0,1,0,0,0,0,0,1,2372,3545
Antivirus,3.0,187.0,0.0,['1.99'],DeadRatGames,9.0,EN,25563136.0,3802,1455,0,0,0,0,0,0,1,0,0,0,1,0,0,2478,2347
Arcs,4.0,413.0,2.99,['0.0'],Pomegranate Apps LLC,4.0,EN,5106688.0,3815,419,0,0,0,0,0,0,1,0,1,0,0,0,0,3351,3396
Shogi Kifu,0.0,0.0,3.99,['0.0'],Yoshikazu Kakinoki,4.0,"EN, JA",29797376.0,2911,263,0,0,1,0,0,0,0,0,0,0,0,0,0,323,2648
Strategery Lite,3.5,9121.0,0.0,['0.0'],Affogato LLC,4.0,EN,5421981.0,3800,3290,0,0,1,0,0,0,1,0,0,0,0,0,0,1705,510
Wedding Dash Deluxe,4.5,17056.0,0.99,"['0.0', '0.99', '5.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99']",Glu Games Inc,4.0,EN,55803904.0,3808,1827,1,0,0,0,0,0,1,0,0,0,0,0,0,1473,1981
Agency Wars Lite,2.5,17045.0,0.0,['0.0'],MindJolt,4.0,EN,7543757.0,3763,3710,0,0,0,0,0,0,1,0,0,1,0,0,0,2439,53
Touch Physics Lite,3.5,42210.0,0.0,['0.0'],Gamez 4 Touch,4.0,EN,16556848.0,3804,3094,0,0,0,0,0,0,1,0,1,0,0,0,0,2189,710
FIREWALL: Defender FREE,2.5,1156.0,0.0,['0.0'],Solus Games,4.0,EN,6122222.0,3808,3808,0,0,0,0,0,0,1,0,1,0,0,0,0,947,0
PocketSports Football Lite,2.5,20234.0,0.0,['0.0'],Solus Games,12.0,EN,4528173.0,3793,3786,0,0,0,0,0,0,1,0,0,0,0,1,0,2054,7
BallSnare,3.5,7.0,0.99,['0.0'],John Gregorek,4.0,EN,3824640.0,3799,1027,0,0,0,0,1,0,1,0,0,0,0,0,0,357,2772
Wordology,3.5,125.0,2.99,['0.0'],Cerebral Gardens,4.0,EN,98282496.0,3777,573,0,0,0,0,0,0,1,0,0,0,0,0,1,990,3204
Omar Sharif Bridge,2.5,359.0,5.99,['0.0'],ZingMagic Limited,4.0,EN,33982464.0,3788,204,0,0,0,1,0,0,1,0,0,0,0,0,0,1580,3584
PahJong Hurricane,3.0,6.0,0.99,['0.0'],John Gregorek,4.0,EN,3134464.0,3789,1027,0,0,0,0,1,0,1,0,0,0,0,0,0,502,2762
Wedding Dash,4.0,101209.0,0.0,"['2.99', '2.99', '5.99', '0.99', '0.0', '0.99', '0.99', '0.99', '0.99', '0.99']",Glu Games Inc,4.0,EN,58343424.0,3787,1827,1,0,0,0,0,0,1,0,0,0,0,0,0,1590,1960
PahJong Tsunami,0.0,0.0,0.99,['0.0'],John Gregorek,4.0,EN,2974720.0,3787,1027,0,0,0,0,1,0,1,0,0,0,0,0,0,363,2760
Slay,3.0,4885.0,3.99,"['9.99', '9.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99']","""Sean O'Connor""",9.0,EN,59016192.0,3778,34,0,0,1,0,0,0,0,0,0,0,0,0,0,1190,3744
Paintball II,2.0,84.0,2.99,['0.0'],CrazySoft Limited,4.0,EN,6466560.0,3780,266,0,0,0,0,0,0,1,0,1,0,0,0,0,3202,3514
Psarakia (Ice Fishing),3.5,13.0,2.99,['0.0'],CrazySoft Limited,4.0,EN,4922368.0,3780,266,0,0,0,0,0,0,1,0,1,0,0,0,0,2112,3514
Shogi Demon,3.5,27.0,2.99,['0.0'],NUTRACTOR,17.0,"EN, JA",20957184.0,3781,355,0,0,1,0,0,0,0,0,0,0,0,0,0,840,3426
Tiki Towers LITE,3.5,29495.0,0.0,['0.0'],GameHouse,9.0,"EN, FR, DE, IT, ES",39453539.0,3780,3077,0,0,0,0,0,0,1,0,1,0,0,0,0,1770,703
Gun Runner +,2.5,5462.0,0.0,"['0.99', '0.99', '0.99']",CUBIC digital,9.0,EN,14125056.0,3780,643,0,1,0,0,0,0,1,0,0,0,0,0,0,855,3137
Polycubes,3.5,19.0,0.0,['0.0'],Voxeloid Kft.,4.0,EN,4472832.0,3770,1827,0,0,0,0,0,0,1,0,1,0,0,0,0,401,1943
Port Defender\xae - 2D Field Defense,3.5,860.0,0.0,"['0.99', '1.99', '0.99', '0.99']",Michael Fuller,9.0,EN,84364288.0,3750,1197,1,0,0,0,0,0,1,0,0,0,0,0,0,1002,2553
"""Sally's Spa""",4.5,35199.0,2.99,['0.0'],Games Cafe Inc.,4.0,"EN, FR, DE, IT, ES",500501504.0,3738,660,1,0,0,0,0,0,1,0,0,0,0,0,0,3919,3078
Port Defender\xae Lite - 2D Field Defense,3.0,5013.0,0.0,['0.0'],Michael Fuller,9.0,EN,54787072.0,3750,1197,1,0,0,0,0,0,1,0,0,0,0,0,0,985,2553
"""Tap 'n' Pop Classic: Balloon Group Remove""",3.5,1119.0,2.99,['0.0'],"Software River Solutions, Inc",4.0,EN,8881152.0,3750,686,0,0,0,0,0,0,1,0,1,0,0,0,0,1657,3064
Conquest (+ all maps),3.5,2606.0,4.99,['0.0'],"""Sean O'Connor""",9.0,EN,107105280.0,3750,565,0,0,1,0,0,0,0,0,0,0,0,0,0,1324,3185
Shredder Chess,4.5,863.0,3.99,['0.0'],"Eiko Bleicher, Skizzix.com",4.0,"EN, DE",33033216.0,3750,990,0,0,1,0,0,1,0,0,0,0,0,0,0,1903,2760
Wordology Lite,3.0,1926.0,0.0,['0.0'],Cerebral Gardens,4.0,EN,108253184.0,3750,573,0,0,0,0,0,0,1,0,0,0,0,0,1,1113,3177
"Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",2.5,1848.0,0.0,['0.0'],Savy Soda,4.0,"ZH, EN",1326164.0,3750,3116,0,0,1,0,0,0,0,0,0,0,0,0,0,547,634
"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",3.0,24821.0,0.0,['0.0'],"Software River Solutions, Inc",4.0,EN,14717952.0,3749,685,0,0,0,0,0,0,1,0,1,0,0,0,0,1587,3064
Tournament Reversi Free,3.5,2503.0,0.0,['0.0'],Futrell Software,4.0,EN,2582857.0,3750,3272,0,0,1,0,0,0,1,0,0,0,0,0,0,837,478
Bloons,4.0,16693.0,0.99,['0.0'],Ninja Kiwi,4.0,EN,5500291.0,3732,2703,0,0,0,0,0,0,0,0,1,0,0,0,0,1722,1029
Chess \u2219,3.5,191081.0,0.0,['0.0'],Optime Software LLC,4.0,EN,65303552.0,3728,371,0,0,1,0,0,0,1,0,0,0,0,0,0,843,3357
Chess Premium,4.0,2767.0,1.99,['0.0'],Optime Software LLC,4.0,EN,30746624.0,3723,643,0,0,1,0,0,0,1,0,0,0,0,0,0,858,3080
UniWar: Multiplayer Strategy,3.5,14073.0,0.0,"['9.99', '2.99', '4.99', '19.99', '5.49', '23.49', '49.99', '36.99', '13.99', '99.99']",SH Limited,9.0,"AR, ZH, CS, EN, FR, DE, IT, JA, PL, PT, RU, ES, TR",115074048.0,3732,-21,0,0,0,0,0,0,1,0,0,1,0,0,0,2524,3753
Pocket Tanks Deluxe,4.5,5543.0,4.99,"['0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99']","Blitwise Productions, LLC",9.0,EN,39997440.0,3731,1036,0,0,0,0,0,0,1,1,0,0,0,0,0,2207,2695
Castle Smasher,3.0,12659.0,0.99,['0.0'],Donut Games,4.0,EN,10308608.0,3732,728,1,0,0,0,0,0,0,0,0,0,0,0,0,1184,3004
Pocket Tanks,4.0,90386.0,0.0,"['4.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99', '0.99']","Blitwise Productions, LLC",9.0,EN,43073536.0,3731,1036,0,0,0,0,0,0,1,1,0,0,0,0,0,2197,2695
Inverti,3.0,40.0,0.0,['0.0'],Frank LaRosa,4.0,EN,2004992.0,3725,636,0,0,1,0,0,0,0,0,0,0,0,0,0,500,3089
Crystal Mine,2.0,353.0,0.0,['0.0'],Modular Dreams Inc,4.0,EN,2818386.0,3713,3713,0,0,0,0,1,0,0,0,0,0,0,0,0,1133,0
Nerve,2.5,47.0,0.0,['0.0'],Mahboud Zabetian,4.0,EN,6994639.0,3718,3652,0,0,0,0,0,0,0,0,0,0,0,0,0,177,66
Pebbles,3.0,866.0,0.0,['0.0'],Objective Development,4.0,"EN, DE",10136576.0,3718,1260,0,0,1,0,0,0,1,0,0,0,0,0,0,1866,2458
AirTycoon - Airline Management,3.5,3416.0,0.0,['0.0'],TRADEGAME Lab Inc.,4.0,EN,8646161.0,3717,2423,0,0,0,0,0,0,1,0,0,1,0,0,0,2011,1294
Jungle Crash Land,3.5,67670.0,0.99,['0.0'],Donut Games,4.0,EN,7703552.0,3715,742,1,0,0,0,0,0,0,0,0,0,0,0,0,1149,2973
PortOfCallL,2.5,634.0,0.0,"['0.99', '0.99']",Dipl.-Ing. Rolf-Dieter Klein,4.0,"DA, NL, EN, FI, FR, DE, IT, NO, PT, ES, SV",3396500.0,3715,2979,0,0,0,0,0,0,0,0,0,0,1,0,0,2623,736
"""Swap 'n Drop""",3.0,282.0,2.99,['0.0'],CH4 Productions,4.0,EN,4225024.0,3713,593,0,0,0,0,0,0,0,0,1,0,0,0,0,386,3120
Boxed In,3.5,93235.0,0.99,"['0.99', '0.99', '0.99', '1.99', '0.99', '2.99', '4.99', '0.99', '0.99', '0.99']",Dennis Mengelt,4.0,EN,259371008.0,3710,576,0,0,0,0,0,0,1,0,1,0,0,0,0,715,3134
SmartGo Player,4.0,569.0,2.99,['0.0'],"Smart Go, Inc.",4.0,"EN, FR, DE, JA, KO, RU, ZH, ES, ZH",23805952.0,3710,425,0,0,1,0,0,0,1,0,0,0,0,0,0,1561,3285
Big 2 Classic,3.5,127.0,2.99,['0.0'],38 Softworks Inc.,4.0,"EN, ZH, ZH",3684352.0,3709,627,0,0,0,1,0,0,1,0,0,0,0,0,0,369,3082
"""Sally's Spa Lite""",4.0,193923.0,0.0,['0.0'],Games Cafe Inc.,4.0,"EN, FR, DE, IT, ES",233482240.0,3688,660,1,0,0,0,0,0,1,0,0,0,0,0,0,3379,3028
TowerMadness,4.0,42389.0,2.99,"['1.99', '1.99', '1.99', '1.99', '1.99', '1.99', '1.99', '1.99', '5.99']",Limbic Software,9.0,"EN, DE",56048640.0,3692,485,0,0,0,0,0,0,0,0,1,0,0,0,0,1759,3207
Chinese Chess Master,3.5,207.0,3.99,['0.0'],PPCLINK Software,4.0,EN,23740416.0,3693,1353,0,0,1,0,0,0,1,0,0,0,0,0,0,3408,2340
Block Off,3.0,16554.0,0.0,['0.99'],Elements of Design LLC,4.0,EN,6338617.0,3691,2662,0,0,0,0,0,0,1,0,1,0,0,0,0,1461,1029
UAV Fighter Free,3.0,6906.0,0.0,['0.0'],"Entertaining Games, Inc.",12.0,EN,12120793.0,3680,2526,0,0,0,0,0,0,1,0,0,0,1,0,0,2741,1154
WORP - Next Gen Solitaire Puzzle,3.0,9.0,1.99,['0.0'],Maximilian Auer,4.0,"EN, DE",20501504.0,3678,982,0,0,1,0,0,0,1,0,0,0,0,0,0,3831,2696
Bubble Buster,3.5,2110.0,0.0,"['1.99', '9.99', '0.99', '9.99', '2.99', '0.99', '19.99', '0.99', '0.99', '9.99']",North Sky Games,4.0,EN,76698624.0,3644,1085,0,0,1,0,0,0,1,0,0,0,0,0,0,1171,2559
Age of Conquest: Europe,3.5,267.0,3.99,['0.0'],Noble Master LLC,12.0,EN,39074816.0,3669,264,0,0,1,0,0,0,1,0,0,0,0,0,0,849,3405
Backgammon!,2.0,704.0,0.0,['0.0'],osnine,4.0,EN,413902.0,3674,3674,0,0,1,0,0,0,1,0,0,0,0,0,0,481,0
Crush the Castle,3.5,23854.0,0.99,['0.0'],Armor Games Inc,12.0,EN,44707840.0,3575,702,0,1,0,0,0,0,0,0,0,0,0,0,0,538,2873
PopGroup,3.0,847.0,0.99,['0.0'],Tom Kerrigan,4.0,EN,995328.0,3667,730,0,0,1,0,0,0,1,0,0,0,0,0,0,638,2937
PopGroup Lite,3.0,233.0,0.0,['0.0'],Tom Kerrigan,4.0,EN,761856.0,3577,730,0,0,1,0,0,0,1,0,0,0,0,0,0,638,2847
TapSquares,3.0,5.0,0.99,['0.0'],Bubble Pop Software,4.0,EN,2137088.0,3675,118,0,0,0,0,0,0,1,0,1,0,0,0,0,569,3557
Chess,4.5,14864.0,0.0,"['1.99', '7.99', '29.99', '19.99']",Vintolo Ltd,4.0,EN,47129600.0,3672,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1145,3660
TOTL,2.5,43.0,0.0,['0.0'],Robert Urschel,4.0,EN,41591808.0,3671,377,0,0,0,0,0,0,1,0,1,0,0,0,0,167,3294
Tic-Tac-Toe Arena,1.5,8.0,1.99,['0.0'],RookSoft Ltd.,4.0,EN,82583552.0,3661,1023,0,0,1,0,0,0,1,0,0,0,0,0,0,862,2638
4_IN_1_ROW_Lite,2.5,3593.0,0.0,['0.0'],"AOBO Co.,Ltd",4.0,"EN, JA, ZH",7750656.0,3657,515,0,0,1,0,0,0,1,0,0,0,0,0,0,1498,3142
Tournament Checkers Free,3.0,344.0,0.0,['0.0'],Futrell Software,4.0,EN,4578541.0,3653,3653,0,0,1,0,0,0,1,0,0,0,0,0,0,809,0
Checkers,4.5,36581.0,0.0,['0.0'],Vintolo Ltd,4.0,EN,69393408.0,3651,19,0,0,1,0,0,0,1,0,0,0,0,0,0,761,3632
Pipe Mania,3.0,302.0,0.0,['0.0'],Virtual Programming Ltd,4.0,EN,85569536.0,3647,1911,0,0,0,0,0,0,0,0,1,0,0,0,0,2031,1736
WORMS,4.0,5778.0,1.99,"['0.99', '0.99']",Team17 Software Ltd,12.0,EN,253834240.0,3643,936,1,0,0,0,0,0,1,0,0,0,0,0,0,2032,2707
Pixel Starships\u2122,4.5,27739.0,0.0,"['4.99', '9.99', '3.99', '4.99', '3.99', '9.99', '19.99', '49.99', '99.99']",Savy Soda,9.0,"AR, CS, NL, EN, FR, DE, ID, IT, JA, KO, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",104436736.0,1274,-19,0,0,0,0,0,0,1,0,0,1,0,0,0,3374,1293
PUSHY,4.0,163.0,1.99,['0.99'],medienwerkstatt,4.0,"EN, FR, DE",83070976.0,3644,86,0,0,0,0,0,1,0,0,1,0,0,0,0,4036,3558
Traffic Rush,3.5,212763.0,0.99,['0.0'],Donut Games,9.0,EN,9466880.0,3643,237,1,0,0,0,0,0,0,0,0,0,0,0,0,887,3406
Traffic Control!,3.0,24.0,0.0,['0.0'],Jon Davis,4.0,EN,4474837.0,3636,3603,0,0,0,0,0,0,1,0,1,0,0,0,0,313,33
Sudoku Infinite,3.5,166.0,0.0,['0.0'],Ludovic Landry,4.0,"EN, FR, JA, ES",10318615.0,3616,2785,0,0,0,0,1,1,0,0,0,0,0,0,0,1419,831
Cartoon Wars,3.5,35905.0,0.99,"['0.99', '5.99', '2.99']",BLUE,12.0,EN,13216994.0,3630,2452,0,0,0,0,0,0,0,0,0,1,0,0,0,2191,1178
Hexxagon,2.5,268.0,0.99,['0.0'],Aleksejs Voloviks,4.0,EN,5334016.0,3632,807,0,0,1,0,0,0,1,0,0,0,0,0,0,1402,2825
Big Deuce - Big 2 Classic,3.0,942.0,0.0,['2.99'],38 Softworks Inc.,4.0,"EN, ZH, ZH",18093056.0,3631,538,0,0,0,1,0,0,1,0,0,0,0,0,0,369,3093
Archmage Defense Lite,3.5,3135.0,0.0,['0.0'],Nerv Technology,9.0,EN,9205022.0,3625,3264,1,0,0,0,0,0,1,0,0,0,0,0,0,2573,361
Orbital,4.0,1435.0,2.99,['0.0'],bitforge Ltd,4.0,"EN, FR, DE, IT, ES",22335488.0,3611,1496,0,0,0,0,0,0,1,0,1,0,0,0,0,3109,2115
Tic Tac Toe: World Challenge,3.0,680.0,0.0,['0.0'],DigitalFun,4.0,"EN, IT, ES",4481024.0,3618,1877,0,0,1,0,0,0,1,0,0,0,0,0,0,642,1741
Stock Wars - Virtual Investing,3.5,3015.0,0.0,['1.99'],Continuous Integration Inc.,4.0,EN,10139648.0,3534,582,0,0,0,0,0,0,0,0,0,0,1,0,1,1524,2952
Sudoku Deluxe\xae,4.5,688.0,0.0,"['2.99', '1.99', '1.99', '1.99', '1.99', '1.99', '1.99', '1.99', '1.99', '1.99']",Mobile Deluxe,4.0,EN,70557696.0,3570,686,0,0,0,0,0,0,0,0,0,0,0,0,2,2449,2884
Block Drop\xae,4.0,113.0,0.99,['0.0'],"Freecloud Design, Inc.",4.0,EN,48675840.0,3618,786,0,0,0,0,0,0,1,0,1,0,0,0,0,1646,2832
All American Girls Concentration Memory Game,2.0,291.0,0.99,['0.0'],"No Tie, LLC",17.0,EN,9900032.0,3575,1072,0,0,1,0,0,0,1,0,0,0,0,0,0,218,2503
Phoenix Emperor 50 Marks,4.5,62.0,0.0,"['19.99', '4.99', '9.99', '49.99', '99.99']","Codxp, Inc",12.0,EN,22518784.0,3603,1362,0,1,0,0,0,0,0,0,0,0,0,0,0,1536,2241
Cleopatra\xae,3.5,1054.0,0.0,['0.0'],IGT,12.0,EN,5085584.0,3620,3487,0,0,0,0,0,0,1,0,0,0,0,0,1,1845,133
Bored,3.5,9.0,0.0,"['0.99', '0.99', '0.99']",Patrick Q. Kelly,4.0,EN,16440320.0,3620,1271,0,0,0,0,0,0,1,0,1,0,0,0,0,598,2349
